1	30
1	350
1	4158
1	13210
1	18874
2	17
2	42
2	50
2	132
2	148
2	175
2	206
2	210
2	214
2	324
2	345
2	354
2	992
2	3267
2	4915
2	7282
3	5
3	10
3	11
3	16
3	17
3	19
3	21
3	30
3	31
3	32
3	42
3	46
3	50
3	54
3	64
3	71
3	84
3	86
3	90
3	91
3	94
3	98
3	107
3	130
3	131
3	132
3	134
3	138
3	140
3	142
3	148
3	157
3	158
3	161
3	171
3	173
3	175
3	182
3	184
3	186
3	187
3	190
3	202
3	204
3	205
3	206
3	207
3	208
3	210
3	214
3	215
3	216
3	220
3	224
3	225
3	227
3	252
3	257
3	262
3	270
3	273
3	277
3	278
3	279
3	282
3	286
3	291
3	294
3	296
3	315
3	317
3	320
3	321
3	323
3	324
3	326
3	328
3	345
3	350
3	354
3	359
3	364
3	367
3	371
3	372
3	373
3	374
3	381
3	383
3	384
3	392
3	395
3	401
3	407
3	414
3	419
3	426
3	428
3	430
3	436
3	437
3	444
3	454
3	455
3	459
3	461
3	465
3	476
3	483
3	501
3	505
3	522
3	523
3	527
3	542
3	550
3	551
3	555
3	557
3	565
3	574
3	577
3	578
3	587
3	589
3	590
3	600
3	603
3	604
3	623
3	646
3	660
3	663
3	666
3	675
3	680
3	692
3	708
3	712
3	714
3	720
3	723
3	724
3	729
3	737
3	738
3	741
3	768
3	769
3	774
3	788
3	805
3	814
3	820
3	830
3	849
3	860
3	866
3	868
3	869
3	877
3	883
3	887
3	913
3	919
3	932
3	939
3	942
3	953
3	954
3	964
3	971
3	973
3	974
3	975
3	981
3	992
3	1001
3	1008
3	1028
3	1034
3	1043
3	1056
3	1057
3	1059
3	1072
3	1089
3	1094
3	1122
3	1131
3	1135
3	1138
3	1140
3	1143
3	1145
3	1150
3	1159
3	1175
3	1183
3	1201
3	1229
3	1265
3	1271
3	1274
3	1277
3	1282
3	1286
3	1311
3	1313
3	1328
3	1339
3	1344
3	1353
3	1357
3	1373
3	1377
3	1425
3	1442
3	1443
3	1458
3	1463
3	1474
3	1484
3	1490
3	1495
3	1498
3	1507
3	1512
3	1520
3	1521
3	1525
3	1526
3	1529
3	1539
3	1540
3	1553
3	1556
3	1560
3	1567
3	1596
3	1601
3	1604
3	1611
3	1627
3	1632
3	1652
3	1664
3	1671
3	1675
3	1678
3	1687
3	1698
3	1708
3	1741
3	1764
3	1767
3	1773
3	1780
3	1786
3	1806
3	1833
3	1837
3	1845
3	1846
3	1847
3	1849
3	1850
3	1859
3	1863
3	1876
3	1883
3	1894
3	1913
3	1922
3	1951
3	1966
3	1969
3	1970
3	1971
3	1972
3	1978
3	1985
3	1988
3	1989
3	1995
3	1998
3	2006
3	2038
3	2044
3	2048
3	2049
3	2051
3	2060
